0          References for Cross Section of tCO       Total   
tCO is equivalent to CO(a^3Pi)                                                  
                                                                                
0          References for Cross Section of tCO       CO+     
tCO is equivalent to CO(a^3Pi)                                                  
Branching ratio assumed to be the same as that for the ground state.            
                                                                                
0          References for Cross Section of tCO       C+O     
tCO is equivalent to CO(a^3Pi)                                                  
Branching ratio assumed to be the same as that for the ground state.            
                                                                                
0          References for Cross Section of tCO       O+C     
tCO is equivalent to CO(a^3Pi)                                                  
Branching ratio assumed to be the same as that for the ground state.            
                                                                                
0 Branching ratio for tCO      Total        4 branches
 Lambda  Total   CO+      C+O      O+C      C/O     
  894.8 2.27E-17 2.21E-17 0.00E+00 0.00E+00 6.28E-19
  895.8 2.26E-17 2.21E-17 0.00E+00 0.00E+00 5.04E-19
  897.4 2.21E-17 2.16E-17 0.00E+00 0.00E+00 4.57E-19
  899.7 1.70E-17 1.67E-17 0.00E+00 0.00E+00 3.06E-19
  905.3 2.21E-17 2.17E-17 0.00E+00 0.00E+00 3.98E-19
  905.9 1.86E-17 1.83E-17 0.00E+00 0.00E+00 3.35E-19
  923.5 2.32E-17 1.72E-17 0.00E+00 0.00E+00 6.05E-18
  924.6 2.49E-17 1.82E-17 0.00E+00 0.00E+00 6.75E-18
  929.2 2.63E-17 1.81E-17 0.00E+00 0.00E+00 8.18E-18
  931.7 2.20E-17 1.64E-17 0.00E+00 0.00E+00 5.56E-18
  933.0 1.88E-17 1.52E-17 0.00E+00 0.00E+00 3.63E-18
  938.5 2.59E-17 1.87E-17 0.00E+00 0.00E+00 7.18E-18
  942.5 2.52E-17 1.80E-17 0.00E+00 0.00E+00 7.25E-18
  947.8 1.84E-17 1.60E-17 0.00E+00 0.00E+00 2.41E-18
  955.3 2.45E-17 1.89E-17 0.00E+00 0.00E+00 5.64E-18
  957.2 2.71E-17 1.89E-17 0.00E+00 0.00E+00 8.19E-18
  958.5 2.01E-17 1.25E-17 0.00E+00 0.00E+00 7.57E-18
  960.6 1.96E-17 1.67E-17 0.00E+00 0.00E+00 2.93E-18
  964.5 2.43E-17 1.81E-17 0.00E+00 0.00E+00 6.22E-18
  969.2 1.84E-17 1.57E-17 0.00E+00 0.00E+00 2.74E-18
  977.2 2.85E-17 2.03E-17 0.00E+00 0.00E+00 8.21E-18
  979.4 2.57E-17 1.75E-17 0.00E+00 0.00E+00 8.22E-18
  986.6 2.05E-17 1.60E-17 0.00E+00 0.00E+00 4.52E-18
  992.0 3.61E-17 2.18E-17 0.00E+00 0.00E+00 1.43E-17
  995.8 3.62E-17 1.86E-17 0.00E+00 0.00E+00 1.76E-17
 1001.9 2.14E-17 1.33E-17 0.00E+00 0.00E+00 8.15E-18
 1004.1 1.89E-17 1.40E-17 0.00E+00 0.00E+00 4.91E-18
