0          References for Cross Section of OClO      Total   
Cross section:                                                                  
Lambda = 1.-1450. A                                                             
   Assumed to be the same as ClNO                                               
Lambda = 1470.-1850. A                                                          
   Basco, N., Morse, R. D. (1974)                                               
   Proc. R. Soc. Lond., a 336, 495                                              
Lambda = 2980.-4225. A                                                          
   Birks, J. W., Shoemaker, B., Leck T. J., Borders, R. A., Hart, lL J. (1977)  
   J. Chem. Phys. 66, 4591                                                      
Lambda = 4404.-4758. A                                                          
   Coon, J. B., Dewames, R. E., Loyd, C. M. (1962)                              
   J. Mol. Spectr. 8, 285                                                       
                                                                                
0          References for Cross Section of OClO      ClO/O   
                                                                                
0 Branching ratio for OClO     Total        2 branches
 Lambda  Total   ClO/O    ClO/O1D 
 3845.0 4.50E-18 4.50E-18 0.00E+00
 3856.0 2.00E-18 2.00E-18 0.00E+00
 3872.0 9.50E-18 9.50E-18 0.00E+00
 3915.0 9.00E-19 9.00E-19 0.00E+00
 3925.0 2.00E-19 2.00E-19 0.00E+00
 3935.0 3.00E-18 3.00E-18 0.00E+00
 3945.0 1.40E-18 1.40E-18 0.00E+00
 3955.0 3.30E-18 3.30E-18 0.00E+00
 3965.0 9.00E-19 9.00E-19 0.00E+00
 3975.0 7.50E-18 7.50E-18 0.00E+00
 4000.0 1.00E-19 1.00E-19 0.00E+00
 4010.0 4.00E-19 4.00E-19 0.00E+00
 4020.0 1.00E-19 1.00E-19 0.00E+00
 4030.0 2.00E-18 2.00E-18 0.00E+00
 4045.0 8.00E-19 8.00E-19 0.00E+00
 4055.0 1.50E-18 1.50E-18 0.00E+00
 4065.0 2.00E-19 2.00E-19 0.00E+00
 4075.0 5.00E-18 5.00E-18 0.00E+00
 4110.0 1.00E-19 1.00E-19 0.00E+00
 4120.0 2.00E-19 2.00E-19 0.00E+00
 4130.0 1.00E-19 1.00E-19 0.00E+00
 4150.0 1.10E-18 1.10E-18 0.00E+00
 4160.0 3.00E-19 3.00E-19 0.00E+00
 4180.0 2.00E-19 2.00E-19 0.00E+00
 4200.0 3.00E-18 3.00E-18 0.00E+00
 4225.0 1.00E-19 1.00E-19 0.00E+00
 4404.1 2.65E-19 2.65E-19 0.00E+00
 4459.2 3.40E-19 3.40E-19 0.00E+00
 4543.4 5.77E-20 5.77E-20 0.00E+00
 4603.1 7.37E-20 7.37E-20 0.00E+00
 4693.6 8.02E-21 8.02E-21 0.00E+00
 4758.2 9.40E-21 9.40E-21 0.00E+00
 4960.0 1.00E-35 1.00E-35 0.00E+00
